periodo,valor
2023-7-21,44.15
2023-7-24,44.15
2023-7-25,43.15
2023-7-26,42.15
2023-7-27,41.15
2023-7-28,40.15
2023-7-31,39.15
2023-8-01,39.15
2023-8-02,39.15
2023-8-03,39.15
2023-8-04,39.15
2023-8-07,39.15
2023-8-08,38.15
2023-8-09,37.15
2023-8-10,37.15
2023-8-11,37.15
2023-8-14,37.15
2023-8-15,36.65
2023-8-16,36.15
2023-8-17,35.15
2023-8-18,34.15
2023-8-21,34.15
2023-8-22,34.15
2023-8-23,34.15
2023-8-24,34.15
2023-8-25,34.15
2023-8-28,34.15
2023-8-29,33.95
2023-8-30,33.95
2023-8-31,33.95
2023-9-01,32.95
2023-9-04,32.05
2023-9-05,31.15
2023-9-06,31.15
2023-9-07,31.15
2023-9-08,31.15
2023-9-11,30.25
2023-9-12,30.25
2023-9-13,29.45
2023-9-14,28.65
2023-9-15,27.85
2023-9-18,27.25
2023-9-19,27.05
2023-9-20,26.25
2023-9-21,25.55
2023-9-22,24.85
2023-9-25,24.25
2023-9-26,24.25
2023-9-27,23.55
2023-10-09,22.95
2023-10-10,22.35
2023-10-11,22.35
2023-10-12,22.35
2023-10-13,22.35
2023-10-16,22.35
2023-10-17,22.35
2023-10-18,22.35
2023-10-19,22.35
2023-10-20,21.85
2023-10-23,21.25
2023-10-24,21.25
2023-10-25,21.25
2023-10-26,21.25
2023-10-27,21.25
2023-10-30,21.25
2023-10-31,21.25
2023-11-01,21.25
2023-11-02,21.25
2023-11-03,20.65
2023-11-06,20.05
2023-11-07,19.45
2023-11-08,18.95
2023-11-09,18.45
2023-11-10,17.95
2023-11-13,17.95
2023-11-14,17.45
2023-11-15,16.95
2023-11-16,16.55
2023-11-17,16.15
2023-11-20,16.15
2023-11-21,15.75
2023-11-22,15.35
2023-11-23,15.35
2023-11-24,15.35
2023-11-27,15.05
2023-11-28,14.65
2023-11-29,14.65
2023-11-30,14.45
2023-12-01,14.15
2023-12-04,14.05
2023-12-05,13.95
2023-12-06,13.85
2023-12-07,13.85
2023-12-08,13.85
2023-12-11,13.85
2023-12-12,13.85
2023-12-13,13.85
2023-12-14,13.85
2023-12-15,13.85
2023-12-18,13.85
2023-12-19,13.85
2023-12-20,13.85
2023-12-21,13.75
2023-12-22,13.75
2023-12-25,13.75
2023-12-26,13.75
2023-12-27,13.75
2023-12-28,13.65
2023-12-29,13.65
2024-1-02,13.55
2024-1-03,13.55
2024-1-04,13.55
2024-1-05,13.55
2024-1-08,13.55
2024-1-09,13.55
2024-1-10,13.45
2024-1-11,13.45
2024-1-12,13.45
2024-1-15,13.45
2024-1-16,13.45
2024-1-17,13.45
2024-1-18,13.45
2024-1-19,13.45
2024-1-22,13.45
2024-1-23,13.45
2024-1-24,13.45
2024-1-25,13.45
2024-1-26,13.45
2024-1-29,13.45
2024-1-30,13.45
2024-1-31,13.45
2024-2-01,13.45
2024-2-02,13.45
2024-2-04,13.45
2024-2-05,13.45
2024-2-06,13.45
2024-2-07,13.45
2024-2-19,13.45
2024-2-20,13.05
2024-2-21,13.05
2024-2-22,13.05
2024-2-23,13.05
2024-2-26,13.05
2024-2-27,13.05
2024-2-28,13.15
2024-2-29,13.15
2024-3-01,13.35
2024-3-04,13.65
2024-3-05,13.75
2024-3-06,13.75
2024-3-07,13.75
2024-3-08,13.75
2024-3-11,13.75
2024-3-12,13.95
2024-3-13,14.15
2024-3-14,14.15
2024-3-15,14.05
2024-3-18,14.05
2024-3-19,14.05
2024-3-20,14.05
2024-3-21,14.15
2024-3-22,14.15
2024-3-25,14.15
2024-3-26,13.95
2024-3-27,13.95
2024-3-28,13.95
2024-3-29,13.95
2024-4-01,13.95
2024-4-02,13.95
2024-4-03,13.95
2024-4-07,13.95
2024-4-08,14.05
2024-4-09,14.05
2024-4-10,14.15
2024-4-11,14.15
2024-4-12,14.15
2024-4-15,14.15
2024-4-16,14.15
2024-4-17,14.15
2024-4-18,14.15
2024-4-19,14.15
2024-4-22,14.15
2024-4-23,14.15
2024-4-24,14.15
